Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
78,44,tr|R5UE03|R5UE03_9BACE,371.37,57,44,11,Carbamidomethylation; Oxidation (M),100274,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:702 GN=BN759_01582 PE=4 SV=1
4971,15852,tr|R6SKW7|R6SKW7_9BACE,132.73,4,3,1,,117028,TonB-linked outer membrane protein SusC/RagA family OS=Bacteroides coprophilus CAG:333 GN=BN612_00715 PE=3 SV=1
5089,16085,tr|B5D264|B5D264_BACPM,132.67,17,5,1,,34651,Sodium pump decarboxylase  gamma subunit OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_03067 PE=4 SV=1
4125,16945,tr|R6I8C7|R6I8C7_9FIRM,132.63,6,3,1,,73136,Putative translation elongation factor G OS=Ruminococcus sp. CAG:177 GN=BN517_01702 PE=4 SV=1
4272,16671,tr|R6CQS8|R6CQS8_9FIRM,132.55,13,4,1,,45916,Enolase OS=Ruminococcus sp. CAG:579 GN=eno PE=3 SV=1
5266,11206,tr|R5C352|R5C352_9BACE,132.51,11,5,5,,72427,SusD family protein OS=Bacteroides sp. CAG:598 GN=BN727_01801 PE=4 SV=1
3816,10181,tr|R5PE13|R5PE13_9BACT,132.43,15,6,1,,50937,Putative translation elongation factor G OS=Prevotella sp. CAG:1092 GN=BN465_01723 PE=4 SV=1
5862,12845,tr|R5CGR9|R5CGR9_9BACT,132.42,15,4,2,,42908,Efflux transporter RND family MFP subunit OS=Prevotella sp. CAG:1058 GN=BN458_00368 PE=3 SV=1
5049,13627,tr|R6E9V9|R6E9V9_9BACT,132.39,16,4,1,,32050,OmpA family protein OS=Prevotella sp. CAG:1320 GN=BN487_00797 PE=4 SV=1
5213,15030,tr|R5MIW4|R5MIW4_9BACE,132.30,32,5,3,,20851,3-isopropylmalate dehydratase small subunit OS=Bacteroides sp. CAG:1076 GN=BN461_01269 PE=3 SV=1
5077,15603,tr|R7AY47|R7AY47_9BACE,132.29,17,5,1,Carbamidomethylation,34334,Uncharacterized protein OS=Bacteroides sp. CAG:875 GN=BN800_00812 PE=4 SV=1
3582,16840,tr|B5CZ11|B5CZ11_BACPM,132.26,6,3,1,,63014,Glycosyl hydrolase  family 43 OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_01968 PE=3 SV=1
6051,13259,tr|R6ID95|R6ID95_9FIRM,132.23,34,4,4,,19742,50S ribosomal protein L6 OS=Phascolarctobacterium sp. CAG:266 GN=rplF PE=3 SV=1
4360,23668,tr|D4L6C2|D4L6C2_9FIRM,132.08,22,3,1,,14350,30S ribosomal protein S11 OS=Ruminococcus bromii L2-63 GN=rpsK PE=3 SV=1
4360,23669,tr|R5E3I5|R5E3I5_9FIRM,132.08,22,3,1,,14350,30S ribosomal protein S11 OS=Ruminococcus sp. CAG:108 GN=rpsK PE=3 SV=1
5363,14112,tr|R6MZN9|R6MZN9_9BACE,132.06,24,5,1,,28820,3-oxoacyl-(Acyl-carrier-protein) reductase OS=Bacteroides sp. CAG:443 GN=BN659_01639 PE=4 SV=1
5321,15385,tr|R6CHY2|R6CHY2_9BACE,132.03,16,4,1,,37380,Phosphate-binding protein OS=Bacteroides coprocola CAG:162 GN=BN509_02072 PE=3 SV=1
5321,15386,tr|B3JHS2|B3JHS2_9BACE,132.03,16,4,1,,37380,Phosphate-binding protein OS=Bacteroides coprocola DSM 17136 GN=pstS PE=3 SV=1
5461,18196,tr|R6ZND5|R6ZND5_9BACE,132.02,4,3,3,,111058,TonB-dependent receptor OS=Bacteroides sp. CAG:714 GN=BN762_02120 PE=3 SV=1
5601,30277,tr|C3W9I9|C3W9I9_FUSMR,132.00,27,2,2,Carbamidomethylation,6509,50S ribosomal protein L32 OS=Fusobacterium mortiferum ATCC 9817 GN=rpmF PE=3 SV=1
4886,11508,tr|R5SA37|R5SA37_9BACE,132.00,7,6,2,,99678,Uncharacterized protein OS=Bacteroides sp. CAG:661 GN=BN750_02012 PE=4 SV=1
5913,20790,tr|E5WZP4|E5WZP4_9BACE,131.86,12,3,2,,34060,Beta-xylanase OS=Bacteroides eggerthii 1_2_48FAA GN=HMPREF1016_02149 PE=3 SV=1
5913,20800,tr|B7AFZ5|B7AFZ5_BACEV,131.86,10,3,2,,41731,Beta-xylanase OS=Bacteroides eggerthii (strain ATCC 27754 / DSM 20697 / JCM 12986 / CIP 104285 / NCTC 11155 / VPI T5-42B-1) GN=BACEGG_01319 PE=3 SV=1
5913,20801,tr|R5K1E9|R5K1E9_9BACE,131.86,10,3,2,,41731,Beta-xylanase OS=Bacteroides eggerthii CAG:109 GN=BN464_01391 PE=3 SV=1
5913,20802,tr|R6AAJ7|R6AAJ7_9BACE,131.86,10,3,2,,41666,Beta-xylanase OS=Bacteroides stercoris CAG:120 GN=BN477_02488 PE=3 SV=1
4735,18192,tr|G1UTV6|G1UTV6_9DELT,131.83,30,5,1,Carbamidomethylation,13792,30S ribosomal protein S12 OS=Desulfovibrio sp. 6_1_46AFAA GN=rpsL PE=3 SV=1
4735,18193,tr|B6WVT7|B6WVT7_9DELT,131.83,30,5,1,Carbamidomethylation,13765,30S ribosomal protein S12 OS=Desulfovibrio piger ATCC 29098 GN=rpsL PE=3 SV=1
4735,18194,sp|B8J3F7|RS12_DESDA,131.83,30,5,1,Carbamidomethylation,13806,30S ribosomal protein S12 OS=Desulfovibrio desulfuricans (strain ATCC 27774 / DSM 6949) GN=rpsL PE=3 SV=1
4735,18195,tr|A0A0X8JHB8|A0A0X8JHB8_9DELT,131.83,30,5,1,Carbamidomethylation,13792,30S ribosomal protein S12 OS=Desulfovibrio fairfieldensis GN=rpsL PE=3 SV=1
3054,10561,tr|R6YK41|R6YK41_9BACE,131.72,48,6,1,,16239,50S ribosomal protein L9 OS=Bacteroides sp. CAG:714 GN=rplI PE=3 SV=1
4678,20639,tr|B6WTZ9|B6WTZ9_9DELT,131.72,7,3,1,,49386,Uncharacterized protein (Fragment) OS=Desulfovibrio piger ATCC 29098 GN=DESPIG_01557 PE=4 SV=1
5401,20797,tr|R7A1A7|R7A1A7_9BACE,131.71,9,3,2,Carbamidomethylation,43547,Beta-xylanase OS=Bacteroides sp. CAG:875 GN=BN800_00418 PE=3 SV=1
5070,10822,tr|R7J978|R7J978_9PORP,131.68,10,6,4,Carbamidomethylation,68601,Methylmalonyl-CoA mutase small subunit OS=Parabacteroides sp. CAG:409 GN=BN646_00844 PE=4 SV=1
4503,15809,tr|A0A109W3L5|A0A109W3L5_9DELT,131.65,13,4,2,Carbamidomethylation,42935,L-threonine dehydrogenase OS=Desulfovibrio fairfieldensis GN=AXF13_01565 PE=4 SV=1
4503,15810,tr|G1UVY3|G1UVY3_9DELT,131.65,13,4,2,Carbamidomethylation,42935,Uncharacterized protein OS=Desulfovibrio sp. 6_1_46AFAA GN=HMPREF1022_02756 PE=4 SV=1
4895,11005,tr|A0A150YCG3|A0A150YCG3_9FIRM,131.43,14,6,1,,57564,60 kDa chaperonin OS=Ruminococcus sp. DSM 100440 GN=groEL PE=3 SV=1
5726,15766,tr|R5UD43|R5UD43_9BACE,131.35,46,4,2,,10588,30S ribosomal protein S15 OS=Bacteroides sp. CAG:702 GN=rpsO PE=3 SV=1
4551,19335,tr|A0A174N480|A0A174N480_9FIRM,131.28,8,3,1,Carbamidomethylation,44853,Phosphoglycerate kinase OS=Faecalibacterium prausnitzii GN=pgk PE=3 SV=1
5431,10182,tr|R7PA81|R7PA81_9BACT,131.27,12,6,3,,61530,Tetratricopeptide repeat protein OS=Prevotella sp. CAG:617 GN=BN736_01486 PE=4 SV=1
4029,12985,tr|B6WXE8|B6WXE8_9DELT,131.26,45,5,5,Carbamidomethylation,18041,Adenylylsulfate reductase  beta subunit OS=Desulfovibrio piger ATCC 29098 GN=aprB PE=4 SV=1
4923,14819,tr|R5TW59|R5TW59_9FIRM,131.26,31,5,1,,17789,30S ribosomal protein S5 OS=Ruminococcus gnavus CAG:126 GN=rpsE PE=3 SV=1
4923,14820,tr|A7B528|A7B528_RUMGN,131.26,31,5,1,,17789,30S ribosomal protein S5 OS=Ruminococcus gnavus ATCC 29149 GN=rpsE PE=3 SV=1
4923,14821,tr|V8BWT9|V8BWT9_RUMGN,131.26,31,5,1,,17788,30S ribosomal protein S5 OS=Ruminococcus gnavus CC55_001C GN=rpsE PE=3 SV=1
4923,14822,tr|A0A173Y5W2|A0A173Y5W2_RUMGN,131.26,31,5,1,,17789,30S ribosomal protein S5 OS=Ruminococcus gnavus GN=rpsE PE=3 SV=1
5545,13755,tr|E5VA13|E5VA13_9BACE,131.24,6,5,1,,116826,TonB-dependent Receptor Plug domain-containing protein OS=Bacteroides sp. 4_1_36 GN=HMPREF1007_01596 PE=3 SV=1
5545,13756,tr|D2ET69|D2ET69_9BACE,131.24,6,5,1,,116826,TonB-linked outer membrane protein  SusC/RagA family OS=Bacteroides sp. D20 GN=HMPREF0969_00341 PE=3 SV=1
5545,13757,tr|A0A139K5I2|A0A139K5I2_BACUN,131.24,6,5,1,,116826,TonB-dependent receptor plug domain protein OS=Bacteroides uniformis GN=HMPREF2141_02335 PE=3 SV=1
5545,13758,tr|A7V1Q1|A7V1Q1_BACUC,131.24,6,5,1,,116826,TonB-linked outer membrane protein  SusC/RagA family OS=Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CIP 103695 / JCM 5828 / NCTC 13054 / VPI 0061) GN=BACUNI_01489 PE=3 SV=1
5545,13759,tr|A0A078S1B0|A0A078S1B0_BACUN,131.24,6,5,1,,116826,TonB-linked outer membrane  SusC/RagA family protein OS=Bacteroides uniformis str. 3978 T3 ii GN=M094_0421 PE=3 SV=1
3796,13428,tr|R5C4L6|R5C4L6_9BACE,131.20,9,5,1,,62185,Uncharacterized protein OS=Bacteroides sp. CAG:598 GN=BN727_00982 PE=4 SV=1
3757,20603,tr|U6RUL0|U6RUL0_9BACE,131.15,15,3,1,,31358,Peptidyl-prolyl cis-trans isomerase OS=Bacteroides sp. HPS0048 GN=HMPREF1214_00338 PE=3 SV=1
3757,20604,tr|I8XVJ6|I8XVJ6_9BACE,131.15,15,3,1,,31358,Peptidyl-prolyl cis-trans isomerase OS=Bacteroides nordii CL02T12C05 GN=HMPREF1068_00151 PE=3 SV=1
4664,9903,tr|K5ZJU0|K5ZJU0_9PORP,131.08,7,7,3,,121013,SusC/RagA family TonB-linked outer membrane protein OS=Parabacteroides sp. D25 GN=HMPREF0999_03213 PE=3 SV=1
4664,9907,tr|A6LC58|A6LC58_PARD8,131.08,7,7,3,,122501,Putative outer membrane protein  probably involved in nutrient binding OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152) GN=BDI_1517 PE=3 SV=1
4664,9908,tr|K6AIA0|K6AIA0_9PORP,131.08,7,7,3,,122461,SusC/RagA family TonB-linked outer membrane protein OS=Parabacteroides distasonis CL03T12C09 GN=HMPREF1075_01055 PE=3 SV=1
4664,9909,tr|A0A174WYE0|A0A174WYE0_9PORP,131.08,7,7,3,,122454,Outer membrane cobalamin receptor protein OS=Parabacteroides distasonis GN=ERS852560_03743 PE=3 SV=1
4664,9910,tr|D0TAW3|D0TAW3_9BACE,131.08,7,7,3,,122501,TonB-linked outer membrane protein  SusC/RagA family OS=Bacteroides sp. 2_1_33B GN=HMPREF0103_0320 PE=3 SV=1
4664,9911,tr|C7XAI8|C7XAI8_9PORP,131.08,7,7,3,,122501,TonB-linked outer membrane protein  SusC/RagA family OS=Parabacteroides sp. D13 GN=HMPREF0619_02480 PE=3 SV=1
4664,9912,tr|D7IT09|D7IT09_9BACE,131.08,7,7,3,,122515,Outer membrane protein OS=Bacteroides sp. 3_1_19 GN=HMPREF0104_02605 PE=3 SV=1
4664,9913,tr|A0A173Y9J0|A0A173Y9J0_9PORP,131.08,7,7,3,,122501,Outer membrane cobalamin receptor protein OS=Parabacteroides distasonis GN=ERS852380_00664 PE=3 SV=1
4664,9914,tr|A0A069SC87|A0A069SC87_9PORP,131.08,7,7,3,,123359,TonB-linked outer membrane  SusC/RagA family protein OS=Parabacteroides distasonis str. 3776 Po2 i GN=M090_3012 PE=3 SV=1
4664,9915,tr|A0A078S6U0|A0A078S6U0_9PORP,131.08,7,7,3,,123359,TonB-linked outer membrane  SusC/RagA family protein OS=Parabacteroides distasonis str. 3999B T(B) 4 GN=M095_4509 PE=3 SV=1
3660,19167,tr|A0A0S8K641|A0A0S8K641_9BACE,130.97,6,4,1,,67769,30S ribosomal protein S1 OS=Bacteroides sp. SM23_62 GN=AMS26_01415 PE=4 SV=1
4274,12779,tr|A7AC56|A7AC56_9PORP,130.94,20,5,1,Carbamidomethylation,47860,Glycosyltransferase  group 1 family protein OS=Parabacteroides merdae ATCC 43184 GN=PARMER_00966 PE=4 SV=1
3419,16443,tr|R5DDP2|R5DDP2_9PORP,130.93,34,4,1,Oxidation (M),15681,50S ribosomal protein L15 OS=Parabacteroides johnsonii CAG:246 GN=rplO PE=3 SV=1
6157,16348,tr|R5BTC7|R5BTC7_9BACE,130.90,4,3,1,Carbamidomethylation,123194,Protein translocase subunit SecA OS=Bacteroides sp. CAG:1060 GN=secA PE=3 SV=1
5100,18101,tr|A0A150Y7F2|A0A150Y7F2_9FIRM,130.87,10,3,1,Carbamidomethylation; Oxidation (M),49361,Dihydropyrimidine dehydrogenase OS=Ruminococcus sp. DSM 100440 GN=AXF09_09935 PE=4 SV=1
4088,15693,tr|R5CEB8|R5CEB8_9BACT,130.83,18,3,2,,18671,50S ribosomal protein L9 OS=Prevotella sp. CAG:1058 GN=rplI PE=3 SV=1
5053,16522,tr|R5NK41|R5NK41_9FIRM,130.81,14,4,2,Carbamidomethylation,42121,Acetate kinase OS=Ruminococcus sp. CAG:17 GN=ackA PE=3 SV=1
5161,15416,tr|F3ZPX9|F3ZPX9_9BACE,130.81,7,4,1,Carbamidomethylation,82095,ATP-dependent DNA helicase RecQ OS=Bacteroides coprosuis DSM 18011 GN=Bcop_0202 PE=4 SV=1
5086,15047,tr|R5BYU9|R5BYU9_9BACE,130.64,6,5,1,,99606,Uncharacterized protein OS=Bacteroides sp. CAG:598 GN=BN727_01641 PE=4 SV=1
5477,19924,tr|A0A173R3B0|A0A173R3B0_9FIRM,130.63,26,3,3,Carbamidomethylation,17624,30S ribosomal protein S7 OS=Faecalibacterium prausnitzii GN=rpsG PE=3 SV=1
5477,19925,tr|A8SFM4|A8SFM4_9FIRM,130.63,26,3,3,Carbamidomethylation,17624,30S ribosomal protein S7 OS=Faecalibacterium prausnitzii M21/2 GN=rpsG PE=3 SV=1
5477,19926,tr|D4JZ51|D4JZ51_9FIRM,130.63,26,3,3,Carbamidomethylation,17610,30S ribosomal protein S7 OS=Faecalibacterium prausnitzii L2-6 GN=rpsG PE=3 SV=1
5477,19927,tr|A0A173WY86|A0A173WY86_9FIRM,130.63,26,3,3,Carbamidomethylation,17610,30S ribosomal protein S7 OS=Faecalibacterium prausnitzii GN=rpsG PE=3 SV=1
5477,19928,tr|D4K648|D4K648_9FIRM,130.63,26,3,3,Carbamidomethylation,17624,30S ribosomal protein S7 OS=Faecalibacterium prausnitzii SL3/3 GN=rpsG PE=3 SV=1
5477,19929,tr|C7H3D0|C7H3D0_9FIRM,130.63,26,3,3,Carbamidomethylation,17610,30S ribosomal protein S7 OS=Faecalibacterium prausnitzii A2-165 GN=rpsG PE=3 SV=1
5477,19930,tr|E2ZH55|E2ZH55_9FIRM,130.63,26,3,3,Carbamidomethylation,17610,30S ribosomal protein S7 OS=Faecalibacterium cf. prausnitzii KLE1255 GN=rpsG PE=3 SV=1
4466,17898,tr|R5V9Q7|R5V9Q7_9BACE,130.63,50,4,1,,12034,DNA-directed RNA polymerase subunit alpha OS=Bacteroides plebeius CAG:211 GN=BN536_00128 PE=4 SV=1
4095,11621,tr|A0A174F2C7|A0A174F2C7_9FIRM,130.51,10,5,1,,55551,Glycogen synthase OS=[Ruminococcus] torques GN=glgA1 PE=3 SV=1
4095,11622,tr|A5KL24|A5KL24_9FIRM,130.51,10,5,1,,55551,Glycogen synthase OS=Ruminococcus torques ATCC 27756 GN=glgA PE=3 SV=1
4095,11623,tr|R5QJG0|R5QJG0_9FIRM,130.51,10,5,1,,55551,Glycogen synthase OS=Ruminococcus torques CAG:61 GN=glgA PE=3 SV=1
5243,13147,tr|F0R5F1|F0R5F1_BACSH,130.46,7,5,2,,111049,TonB-dependent receptor plug OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_0163 PE=3 SV=1
5243,13312,tr|R5UKP6|R5UKP6_9BACE,130.46,7,5,2,,110976,TonB-dependent receptor plug OS=Bacteroides sp. CAG:702 GN=BN759_01533 PE=3 SV=1
5095,12399,tr|F0R1C8|F0R1C8_BACSH,130.44,22,6,6,Carbamidomethylation,32769,PfkB domain protein OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2839 PE=4 SV=1
5095,12400,tr|R5TXM4|R5TXM4_9BACE,130.44,22,6,6,Carbamidomethylation,32743,PfkB domain protein OS=Bacteroides sp. CAG:702 GN=BN759_02645 PE=4 SV=1
2974,18240,tr|R7AD05|R7AD05_9BACE,130.40,31,4,1,,14777,50S ribosomal protein L11 OS=Bacteroides pectinophilus CAG:437 GN=rplK PE=3 SV=1
4192,13712,tr|R5SFB8|R5SFB8_9BACE,130.27,10,5,5,Oxidation (M),59718,Uncharacterized protein OS=Bacteroides sp. CAG:545 GN=BN702_01867 PE=4 SV=1
4993,15813,tr|R6A3J3|R6A3J3_9BACT,130.23,8,4,1,Oxidation (M),61810,TPR domain protein OS=Prevotella sp. CAG:5226 GN=BN693_00231 PE=4 SV=1
5585,17531,tr|R5KHY4|R5KHY4_9BACT,130.20,16,4,1,Carbamidomethylation,43122,2-oxoglutarate:acceptor oxidoreductase subunit OorB OS=Prevotella sp. CAG:1124 GN=BN467_00841 PE=4 SV=1
3790,15228,tr|R5M116|R5M116_9BACT,130.16,11,3,1,,42130,Major outer membrane protein OmpA family protein OS=Prevotella sp. CAG:1185 GN=BN473_00428 PE=4 SV=1
4023,18624,tr|R6SCI1|R6SCI1_9BACE,130.09,22,3,2,,21414,50S ribosomal protein L25 OS=Bacteroides coprophilus CAG:333 GN=rplY PE=3 SV=1
4023,18625,tr|S0FAD4|S0FAD4_9BACE,130.09,22,3,2,,21414,50S ribosomal protein L25 OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=rplY PE=3 SV=1
4489,14965,tr|D4K872|D4K872_9FIRM,130.04,11,5,5,,48802,Glucose-6-phosphate isomerase OS=Faecalibacterium prausnitzii SL3/3 GN=pgi PE=3 SV=1
4489,14966,tr|A8S7C9|A8S7C9_9FIRM,130.04,11,5,5,,48802,Glucose-6-phosphate isomerase OS=Faecalibacterium prausnitzii M21/2 GN=pgi PE=3 SV=1
4489,14967,tr|A0A173UHY5|A0A173UHY5_9FIRM,130.04,11,5,5,,48802,Glucose-6-phosphate isomerase OS=Faecalibacterium prausnitzii GN=pgiB PE=3 SV=1
4489,14968,tr|C7H5Y8|C7H5Y8_9FIRM,130.04,11,5,5,,49175,Glucose-6-phosphate isomerase OS=Faecalibacterium prausnitzii A2-165 GN=pgi PE=3 SV=1
4322,12842,tr|M1WSV1|M1WSV1_DESPC,130.03,5,5,1,Carbamidomethylation,128255,Pyruvate synthase OS=Desulfovibrio piezophilus (strain DSM 21447 / JCM 15486 / C1TLV30) GN=nifJ PE=4 SV=1
5286,17206,tr|F8N9A5|F8N9A5_9BACT,129.80,11,4,1,,47622,Enolase OS=Prevotella multisaccharivorax DSM 17128 GN=eno PE=3 SV=1
5260,18859,tr|R7DB49|R7DB49_9FIRM,129.73,12,3,1,Carbamidomethylation,32054,Putative L-ribulose-5-phosphate 4-epimerase OS=Ruminococcus obeum CAG:39 GN=BN639_01551 PE=4 SV=1
4043,9712,tr|A0A108T551|A0A108T551_9BACE,129.60,7,7,1,,116217,Carboxypeptidase regulatory-like domain protein OS=Bacteroides cellulosilyticus GN=AA416_04166 PE=4 SV=1
4043,9713,tr|I9R8Y3|I9R8Y3_9BACE,129.60,7,7,1,,116217,SusC/RagA family TonB-linked outer membrane protein OS=Bacteroides cellulosilyticus CL02T12C19 GN=HMPREF1062_00485 PE=4 SV=1
4043,9714,tr|R6KQN4|R6KQN4_9BACE,129.60,7,7,1,,116230,SusC/RagA family TonB-linked outer membrane protein OS=Bacteroides cellulosilyticus CAG:158 GN=BN506_00054 PE=4 SV=1
5306,20417,tr|A0A109W3R7|A0A109W3R7_9DELT,129.20,25,3,2,,18010,Rubrerythrin OS=Desulfovibrio fairfieldensis GN=AXF13_03005 PE=4 SV=1
5306,20418,tr|G1UWW7|G1UWW7_9DELT,129.20,25,3,2,,18010,Uncharacterized protein OS=Desulfovibrio sp. 6_1_46AFAA GN=HMPREF1022_03090 PE=4 SV=1
4779,13892,tr|U6RIG7|U6RIG7_9BACE,129.12,10,4,1,Carbamidomethylation,48071,Uncharacterized protein OS=Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 GN=HMPREF1534_01522 PE=4 SV=1
4779,13893,tr|R7NSP2|R7NSP2_9BACE,129.12,10,4,1,Carbamidomethylation,48071,Uncharacterized protein OS=Bacteroides sp. CAG:98 GN=BN821_00250 PE=4 SV=1
2692,15988,tr|A0A173UXK6|A0A173UXK6_9FIRM,129.10,34,5,1,,13266,50S ribosomal protein L14 OS=[Ruminococcus] torques GN=rplN_2 PE=3 SV=1
4418,15670,tr|R7PAE8|R7PAE8_9BACT,128.88,6,4,1,Carbamidomethylation,84809,NADP-dependent malic enzyme OS=Prevotella sp. CAG:617 GN=BN736_01803 PE=4 SV=1
3858,22690,tr|A0A174AUE1|A0A174AUE1_9FIRM,128.79,19,2,1,,16358,50S ribosomal protein L16 OS=Faecalibacterium prausnitzii GN=rplP PE=3 SV=1
3858,22691,tr|C7H943|C7H943_9FIRM,128.79,19,2,1,,16330,50S ribosomal protein L16 OS=Faecalibacterium prausnitzii A2-165 GN=rplP PE=3 SV=1
3858,22692,tr|E2ZFD0|E2ZFD0_9FIRM,128.79,19,2,1,,16358,50S ribosomal protein L16 OS=Faecalibacterium cf. prausnitzii KLE1255 GN=rplP PE=3 SV=1
3858,22693,tr|D4JY67|D4JY67_9FIRM,128.79,19,2,1,,16358,50S ribosomal protein L16 OS=Faecalibacterium prausnitzii L2-6 GN=rplP PE=3 SV=1
5623,15660,tr|D1JSU8|D1JSU8_9BACE,128.62,7,4,2,Carbamidomethylation,68286,F5/8 type C domain protein OS=Bacteroides sp. 2_1_16 GN=HMPREF0101_03049 PE=4 SV=1
5623,15661,tr|A0A015UKN4|A0A015UKN4_BACFG,128.62,7,4,2,Carbamidomethylation,68270,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 3996 N(B) 6 GN=M079_3211 PE=4 SV=1
5623,15662,tr|A0A015U4G7|A0A015U4G7_BACFG,128.62,7,4,2,Carbamidomethylation,68270,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 3998T(B)3 GN=M125_3607 PE=4 SV=1
5623,15663,tr|Q64R93|Q64R93_BACFR,128.62,7,4,2,Carbamidomethylation,68253,Uncharacterized protein OS=Bacteroides fragilis (strain YCH46) GN=BF3243 PE=4 SV=1
5623,15710,tr|A0A139TDA2|A0A139TDA2_9BACE,128.62,7,4,2,Carbamidomethylation,68223,F5/8 type C domain protein OS=Bacteroides cellulosilyticus GN=HMPREF2530_01279 PE=4 SV=1
5623,15711,tr|A0A015TSN5|A0A015TSN5_BACFG,128.62,7,4,2,Carbamidomethylation,68223,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 3986 N(B)19 GN=M085_2750 PE=4 SV=1
5623,15712,tr|E1WTK7|E1WTK7_BACF6,128.62,7,4,2,Carbamidomethylation,68220,Putative exported fucosidase OS=Bacteroides fragilis (strain 638R) GN=BF638R_3109 PE=4 SV=1
5623,15713,tr|A0A016DFT0|A0A016DFT0_BACFG,128.62,7,4,2,Carbamidomethylation,68232,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. B1 (UDC16-1) GN=M069_3316 PE=4 SV=1
5623,15714,tr|A0A015ZGP6|A0A015ZGP6_BACFG,128.62,7,4,2,Carbamidomethylation,68229,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 2-F-2 #4 GN=M076_3200 PE=4 SV=1
5623,15715,tr|A0A0E2T5H2|A0A0E2T5H2_BACFG,128.62,7,4,2,Carbamidomethylation,68192,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 3783N1-6 GN=M119_3226 PE=4 SV=1
5623,15716,tr|A0A0E2T9W3|A0A0E2T9W3_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 3-F-2 #6 GN=M144_3118 PE=4 SV=1
5623,15717,tr|A0A0E2ALV7|A0A0E2ALV7_BACFG,128.62,7,4,2,Carbamidomethylation,68223,Uncharacterized protein OS=Bacteroides fragilis CL03T00C08 GN=HMPREF1066_02949 PE=4 SV=1
5623,15718,tr|A0A0K6BX74|A0A0K6BX74_BACFG,128.62,7,4,2,Carbamidomethylation,68233,Alpha-L-fucosidase OS=Bacteroides fragilis GN=MB0529_02916 PE=4 SV=1
5623,15719,tr|A0A015Y7P1|A0A015Y7P1_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. J-143-4 GN=M067_3110 PE=4 SV=1
5623,15720,tr|A0A016DIL7|A0A016DIL7_BACFG,128.62,7,4,2,Carbamidomethylation,68223,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. Korea 419 GN=M065_3924 PE=4 SV=1
5623,15721,tr|Q5LAU5|Q5LAU5_BACFN,128.62,7,4,2,Carbamidomethylation,68223,Putative exported fucosidase OS=Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343) GN=BF9343_2997 PE=4 SV=1
5623,15722,tr|A0A016AGM7|A0A016AGM7_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. S36L11 GN=M136_3146 PE=4 SV=1
5623,15723,tr|A0A1C0W9T4|A0A1C0W9T4_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Alpha-1 3/4-fucosidase OS=Bacteroides fragilis GN=AC239_27400 PE=4 SV=1
5623,15724,tr|A0A015VB90|A0A015VB90_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. DS-208 GN=M072_2992 PE=4 SV=1
5623,15725,tr|A0A0E2AKE1|A0A0E2AKE1_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Uncharacterized protein OS=Bacteroides fragilis CL07T12C05 GN=HMPREF1056_03838 PE=4 SV=1
5623,15726,tr|F7LTZ8|F7LTZ8_9BACE,128.62,7,4,2,Carbamidomethylation,68210,Uncharacterized protein OS=Bacteroides sp. 2_1_56FAA GN=HMPREF1018_03598 PE=4 SV=1
5623,15727,tr|A0A016ALM7|A0A016ALM7_BACFG,128.62,7,4,2,Carbamidomethylation,68220,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. 3976T8 GN=M123_3246 PE=4 SV=1
5623,15728,tr|A0A017N8V2|A0A017N8V2_BACFG,128.62,7,4,2,Carbamidomethylation,68234,Alpha-1 3/4-fucosidase domain protein OS=Bacteroides fragilis str. S23L17 GN=M138_3028 PE=4 SV=1
