Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,A1 Area,A2 Area,A3 Area,1 Area,B1 Area,B2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
2315,6068,tr|U2E322|U2E322_9BACE,1.25,25,10,1,Carbamidomethylation,5.56E5,8.92E5,7E5,1.79E6,1.05E6,1.35E6,0.62:1.00:0.78:2.00:1.17:1.51,7.16E5,1.4E6,1.00:1.95,43118,Galactokinase OS=Bacteroides pyogenes F0041 GN=HMPREF1981_00480 PE=3 SV=1
137,93,tr|R7AFJ2|R7AFJ2_9BACE,1.25,49,31,1,Carbamidomethylation; Oxidation (M),0,4.21E6,0,2.38E6,2.8E6,2.65E6,0:1.00:0:0.57:0.67:0.63,1.4E6,2.61E6,1.00:1.86,73614,Succinate dehydrogenase or fumarate reductase flavoprotein subunit OS=Bacteroides sp. CAG:875 GN=BN800_00473 PE=4 SV=1
1852,9632,tr|R6HAX4|R6HAX4_9FIRM,1.25,49,8,4,,2.52E6,2.64E6,1.73E6,3.38E6,2.34E6,3.48E6,0.96:1.00:0.65:1.28:0.89:1.32,2.29E6,3.07E6,1.00:1.34,20222,Rubredoxin OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00960 PE=4 SV=1
6095,21333,tr|W7USB5|W7USB5_RUMFL,1.25,13,3,3,,1.69E6,2.23E6,1.73E6,9.31E5,6.85E5,2.23E6,0.76:1.00:0.78:0.42:0.31:1.00,1.88E6,1.28E6,1.00:0.68,35966,Phosphotransacetylase OS=Ruminococcus flavefaciens 007c GN=RF007C_11785 PE=4 SV=1
3578,10028,tr|R7J955|R7J955_9PORP,1.25,22,7,4,Carbamidomethylation,1.09E6,1.48E6,1.61E6,1.42E6,6.32E5,8.38E5,0.73:1.00:1.08:0.96:0.43:0.57,1.37E6,9.63E5,1.00:0.71,47903,ATP synthase alpha/beta family nucleotide-binding domain protein OS=Parabacteroides sp. CAG:409 GN=BN646_01219 PE=4 SV=1
1132,1365,tr|R5KLJ9|R5KLJ9_9BACT,1.25,34,21,5,Oxidation (M),1.79E6,5.53E6,4.79E6,4.23E6,6.57E6,5.17E6,0.32:1.00:0.87:0.76:1.19:0.93,4.04E6,5.46E6,1.00:1.35,70357,Tetratricopeptide (TPR) domain protein OS=Prevotella sp. CAG:1124 GN=BN467_00050 PE=4 SV=1
6296,20791,tr|F0R1E7|F0R1E7_BACSH,1.25,8,3,3,Carbamidomethylation,6.11E5,4.53E5,4.77E5,0,6.89E5,2.92E5,1.35:1.00:1.05:0:1.52:0.65,5.14E5,3.68E5,1.00:0.72,57098,RagB/SusD domain-containing protein OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2859 PE=4 SV=1
4399,12498,tr|R6MKC8|R6MKC8_9BACE,1.25,24,7,1,,0,2.63E6,5.77E5,2E6,8.94E5,3.2E6,0:1.00:0.22:0.76:0.34:1.22,1.07E6,2.03E6,1.00:1.90,39057,Pyruvate flavodoxin/ferredoxin oxidoreductase thiamine diP-binding domain protein OS=Bacteroides sp. CAG:443 GN=BN659_00039 PE=4 SV=1
5271,21793,tr|A0A173V0F8|A0A173V0F8_9FIRM,1.25,9,2,1,,1.56E7,1.54E7,1.12E7,0,1.22E7,7.8E6,1.01:1.00:0.73:0:0.79:0.51,1.41E7,6.65E6,1.00:0.47,19818,50S ribosomal protein L6 OS=[Ruminococcus] torques GN=rplF_2 PE=3 SV=1
4,7,tr|R7CZ36|R7CZ36_9BACE,1.25,76,31,2,Carbamidomethylation; Oxidation (M),9.39E6,9.4E6,5.48E6,1.5E7,7.18E6,8.13E6,1.00:1.00:0.58:1.60:0.76:0.86,8.09E6,1.04E7,1.00:1.28,43587,Elongation factor Tu OS=Bacteroides sp. CAG:462 GN=tuf PE=3 SV=1
1723,6943,tr|D4JY34|D4JY34_9FIRM,1.25,29,11,2,,6.77E6,7.94E6,1.11E7,4.49E6,1.36E7,1.15E6,0.85:1.00:1.40:0.57:1.71:0.15,8.68E6,6.41E6,1.00:0.74,43576,Glucose-1-phosphate adenylyltransferase OS=Faecalibacterium prausnitzii L2-6 GN=glgC PE=3 SV=1
4890,11322,tr|R5QXY4|R5QXY4_9FIRM,1.25,15,6,1,,0,0,7.71E5,0,0,2.11E6,0:0:1.00:0:0:2.74,2.57E5,7.03E5,1.00:2.74,41481,Cell division protein FtsZ OS=Ruminococcus torques CAG:61 GN=ftsZ PE=3 SV=1
3801,15228,tr|R5M116|R5M116_9BACT,1.24,8,2,1,,8.39E5,6.84E5,1.64E6,1.42E6,1.16E6,2.11E6,1.23:1.00:2.40:2.08:1.69:3.08,1.05E6,1.56E6,1.00:1.48,42130,Major outer membrane protein OmpA family protein OS=Prevotella sp. CAG:1185 GN=BN473_00428 PE=4 SV=1
1576,4035,tr|A0A173YII4|A0A173YII4_9FIRM,1.24,34,13,1,Carbamidomethylation,0,0,8.45E5,0,1.61E6,6.38E5,0:0:1.00:0:1.91:0.76,2.82E5,7.5E5,1.00:2.66,42327,Phosphoglycerate kinase OS=Faecalibacterium prausnitzii GN=pgk PE=3 SV=1
627,1550,tr|R6HZ09|R6HZ09_9FIRM,1.24,28,27,1,Carbamidomethylation; Oxidation (M),5.75E5,3.35E5,1.35E6,0,8.4E5,0,1.71:1.00:4.02:0:2.51:0,7.52E5,2.8E5,1.00:0.37,96635,Pyruvate phosphate dikinase OS=Ruminococcus sp. CAG:177 GN=BN517_00539 PE=4 SV=1
3758,14767,tr|R5CAV3|R5CAV3_9BACT,1.24,70,5,1,,1.31E6,1.76E6,2.41E6,4.87E6,-,3.75E6,0.74:1.00:1.37:2.77:-:2.13,1.82E6,4.31E6,1.00:2.36,10504,Enolase OS=Prevotella sp. CAG:1058 GN=BN458_01704 PE=4 SV=1
2818,9600,tr|R5C2Q1|R5C2Q1_9BACE,1.24,35,9,1,,1.45E5,3.51E5,4.37E5,3.39E5,1.17E6,9.38E5,0.41:1.00:1.24:0.97:3.34:2.67,3.11E5,8.16E5,1.00:2.63,39709,Uncharacterized protein OS=Bacteroides sp. CAG:598 GN=BN727_00264 PE=3 SV=1
1449,4146,tr|R5KGJ1|R5KGJ1_9BACT,1.24,23,12,2,,0,1.63E6,8.71E5,2.8E6,5.02E5,4.73E5,0:1.00:0.53:1.72:0.31:0.29,8.33E5,1.26E6,1.00:1.51,65900,30S ribosomal protein S1 OS=Prevotella sp. CAG:1124 GN=BN467_00358 PE=4 SV=1
3533,8299,tr|R7AZS4|R7AZS4_9BACE,1.24,12,8,1,,2.75E6,0,3.21E6,0,2.38E6,0,1.00:0:1.17:0:0.86:0,1.99E6,7.93E5,1.00:0.40,66327,Chaperone protein DnaK OS=Bacteroides pectinophilus CAG:437 GN=dnaK PE=2 SV=1
6560,30719,tr|R6YHV5|R6YHV5_9BACE,1.23,8,1,1,,0,1.59E5,4.42E4,0,2.29E5,2.26E5,0:1.00:0.28:0:1.44:1.43,6.77E4,1.52E5,1.00:2.24,23308,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_01154 PE=4 SV=1
4302,13890,tr|W4P4Q9|W4P4Q9_9BACE,1.23,15,6,1,,0,8.95E5,0,6.58E5,1.74E6,0,0:1.00:0:0.74:1.94:0,2.98E5,7.99E5,1.00:2.68,48121,Glycosyltransferase OS=Bacteroides pyogenes JCM 6292 GN=JCM6292_900 PE=4 SV=1
6283,17811,tr|F0R087|F0R087_BACSH,1.23,12,3,2,,0,1.8E5,6.7E5,5.65E4,1.01E6,6.29E5,0:1.00:3.72:0.31:5.63:3.49,3.4E5,5.66E5,1.00:1.67,50891,RND efflux system  outer membrane lipoprotein  NodT family OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_1648 PE=3 SV=1
5603,16168,tr|E8LBV1|E8LBV1_9FIRM,1.23,13,3,1,Carbamidomethylation,0,0,1.79E6,0,1.59E6,2.99E6,0:0:1.00:0:0.89:1.67,5.97E5,1.53E6,1.00:2.56,28633,Phosphate import ATP-binding protein PstB OS=Phascolarctobacterium succinatutens YIT 12067 GN=pstB PE=3 SV=1
376,496,tr|R9H3G7|R9H3G7_BACVU,1.23,40,22,1,Carbamidomethylation; Oxidation (M),7.5E4,0,2.45E5,0,5.49E5,3.54E5,1.00:0:3.26:0:7.32:4.73,1.07E5,3.01E5,1.00:2.83,77456,Elongation factor G OS=Bacteroides vulgatus dnLKV7 GN=fusA PE=3 SV=1
5950,19671,tr|F7LGW9|F7LGW9_BACOV,1.22,1,1,1,,7.09E6,7.56E6,3.9E6,0,4.57E6,3.6E6,0.94:1.00:0.52:0:0.60:0.48,6.18E6,2.72E6,1.00:0.44,104612,Uncharacterized protein OS=Bacteroides ovatus 3_8_47FAA GN=HMPREF1017_04449 PE=3 SV=1
6606,30632,tr|R7J4W2|R7J4W2_9PORP,1.22,16,1,1,,1.59E5,-,2.61E5,4.36E4,1.21E5,5.51E4,1.00:-:1.64:0.27:0.76:0.35,2.1E5,7.31E4,1.00:0.35,9396,50S ribosomal protein L27 OS=Parabacteroides sp. CAG:409 GN=rpmA PE=3 SV=1
5740,22078,tr|D4LM34|D4LM34_9FIRM,1.22,9,2,1,,8.19E5,7.08E5,6.9E5,9.39E4,8.67E5,5.4E5,1.16:1.00:0.97:0.13:1.23:0.76,7.39E5,5E5,1.00:0.68,35621,ATP-dependent 6-phosphofructokinase OS=Ruminococcus sp. SR1/5 GN=pfkA PE=3 SV=1
6023,19842,tr|A0A174A2D8|A0A174A2D8_9FIRM,1.22,12,3,3,Carbamidomethylation,2.63E6,2.26E6,3.22E6,1.34E6,3.38E6,1.24E6,1.16:1.00:1.43:0.59:1.50:0.55,2.7E6,1.81E6,1.00:0.67,32982,PTS system mannose-specific EIID component OS=[Ruminococcus] torques GN=manZ_1 PE=4 SV=1
6578,25006,tr|A0A108T7U6|A0A108T7U6_BACSE,1.21,4,1,1,,1.49E6,1.5E6,2.13E6,2.06E6,0,0,0.99:1.00:1.42:1.37:0:0,1.7E6,6.85E5,1.00:0.40,41684,Peptide chain release factor 1 OS=Bacteroides stercoris GN=prfA PE=3 SV=1
4672,13715,tr|R6Y6X0|R6Y6X0_9BACE,1.21,16,7,1,Carbamidomethylation,8.73E5,0,1.23E6,3.56E6,0,1.67E6,1.00:0:1.41:4.07:0:1.91,7.01E5,1.74E6,1.00:2.48,54644,Putative dehydrogenase OS=Bacteroides sp. CAG:714 GN=BN762_01901 PE=4 SV=1
1546,9262,tr|I2Q636|I2Q636_9DELT,1.21,23,7,1,Carbamidomethylation; Oxidation (M),0,3.52E6,0,1.51E6,0,7E6,0:1.00:0:0.43:0:1.99,1.17E6,2.84E6,1.00:2.42,43362,Elongation factor Tu OS=Desulfovibrio sp. U5L GN=tuf PE=3 SV=1
4473,9934,tr|R6MDK8|R6MDK8_9FIRM,1.21,32,7,7,Carbamidomethylation,4.07E5,6.32E5,6.22E6,2.83E5,6.3E6,3.4E6,0.64:1.00:9.84:0.45:9.96:5.38,2.42E6,3.33E6,1.00:1.38,30793,Phosphate binding protein OS=Megamonas funiformis CAG:377 GN=BN632_00882 PE=4 SV=1
3831,7179,tr|R5NGX5|R5NGX5_9FIRM,1.21,14,9,1,Carbamidomethylation,0,0,1.57E6,1.22E6,1.5E6,1.25E6,0:0:1.00:0.78:0.96:0.80,5.23E5,1.32E6,1.00:2.53,77192,Uncharacterized protein OS=Ruminococcus sp. CAG:17 GN=BN514_00082 PE=4 SV=1
2740,20343,tr|R6M933|R6M933_9FIRM,1.20,23,4,1,,0,8E5,2.22E6,4.51E5,3.17E6,7.61E5,0:1.00:2.78:0.56:3.96:0.95,1.3E6,1.46E6,1.00:1.13,19893,Reverse rubrerythrin-1 OS=Megamonas funiformis CAG:377 GN=BN632_00406 PE=4 SV=1
5141,25626,tr|R6KIN4|R6KIN4_9BACE,1.20,37,2,1,,8.17E6,4.39E6,0,3.12E6,1.59E6,2.71E6,1.86:1.00:0:0.71:0.36:0.62,5.02E6,2.47E6,1.00:0.49,8476,Acyl carrier protein OS=Bacteroides cellulosilyticus CAG:158 GN=acpP PE=3 SV=1
4534,27133,tr|K1GR97|K1GR97_9FUSO,1.20,5,1,1,,3.82E6,5.35E6,2.49E6,1.74E6,2.67E6,2.54E6,0.71:1.00:0.47:0.33:0.50:0.48,3.59E6,2.32E6,1.00:0.64,39401,Sodium ion-translocating decarboxylase  beta subunit OS=Fusobacterium periodonticum D10 GN=FPOG_01694 PE=4 SV=1
64,67,tr|B5CZ39|B5CZ39_BACPM,1.20,57,49,4,Carbamidomethylation; Oxidation (M),2.32E6,3.01E6,2.11E6,5.95E6,1.86E6,2.16E6,0.77:1.00:0.70:1.97:0.62:0.72,2.53E6,3.32E6,1.00:1.32,129691,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=nifJ PE=3 SV=1
3788,11086,tr|D1PY04|D1PY04_9BACT,1.20,11,7,1,Carbamidomethylation,8.99E5,5.83E5,3.19E5,3.08E5,3.94E5,2.24E5,1.54:1.00:0.55:0.53:0.68:0.38,6E5,3.09E5,1.00:0.51,74469,Transcription termination factor Rho OS=Prevotella bergensis DSM 17361 GN=rho PE=3 SV=1
1398,7392,tr|F0R3D8|F0R3D8_BACSH,1.19,39,10,1,Carbamidomethylation,6.32E6,6.52E6,5.2E6,8.3E6,7.32E6,7.9E6,0.97:1.00:0.80:1.27:1.12:1.21,6.01E6,7.84E6,1.00:1.30,27169,30S ribosomal protein S3 OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=rpsC PE=3 SV=1
4328,21267,tr|R7J4I0|R7J4I0_9BACT,1.19,8,2,1,,3.66E5,5.26E6,4.25E6,7.35E6,5.49E6,3.76E6,0.07:1.00:0.81:1.40:1.04:0.71,3.29E6,5.53E6,1.00:1.68,22281,Glutamate dehydrogenase OS=Prevotella sp. CAG:873 GN=BN799_00557 PE=4 SV=1
1044,4658,tr|R7D1G3|R7D1G3_9BACE,1.19,39,13,1,Carbamidomethylation,0,4.74E6,0,5.91E6,0,5.14E6,0:1.00:0:1.25:0:1.08,1.58E6,3.68E6,1.00:2.33,36790,Fructose-1 6-bisphosphate aldolase class II OS=Bacteroides sp. CAG:462 GN=BN666_00720 PE=3 SV=1
2200,3085,tr|R5SJX2|R5SJX2_9BACE,1.18,29,12,12,Carbamidomethylation,2.4E6,1.7E6,1.78E6,3.46E6,1.66E6,2.74E6,1.41:1.00:1.05:2.03:0.97:1.61,1.96E6,2.62E6,1.00:1.34,67028,Starch-binding protein SusD-like family OS=Bacteroides sp. CAG:661 GN=BN750_00148 PE=4 SV=1
4540,10155,tr|R6HEY1|R6HEY1_9FIRM,1.18,16,7,2,Carbamidomethylation,5.29E5,4.61E5,8.52E5,1.43E6,7.02E5,5.64E5,1.15:1.00:1.85:3.10:1.52:1.22,6.14E5,9.41E5,1.00:1.53,55318,Inosine 5-monophosphate dehydrogenase OS=Phascolarctobacterium sp. CAG:266 GN=BN574_01580 PE=4 SV=1
234,537,tr|W4PPE1|W4PPE1_9BACE,1.18,40,24,1,Carbamidomethylation; Oxidation (M),1.34E6,3.79E5,5.13E5,0,1.13E6,0,3.53:1.00:1.36:0:2.99:0,7.43E5,3.77E5,1.00:0.51,73622,Succinate dehydrogenase flavoprotein subunit OS=Bacteroides pyogenes JCM 10003 GN=JCM10003_1102 PE=4 SV=1
2540,2689,tr|A0A174N395|A0A174N395_BACUN,1.18,15,13,1,Carbamidomethylation,0,0,5.13E6,0,5.25E6,6.63E6,0:0:1.00:0:1.02:1.29,1.71E6,3.96E6,1.00:2.32,133139,Isoleucine--tRNA ligase OS=Bacteroides uniformis GN=ileS PE=3 SV=1
3608,10640,tr|R7LGB8|R7LGB8_9BACT,1.18,12,9,2,Carbamidomethylation,0,4.99E5,7.91E5,5.49E5,1.17E6,7.47E5,0:1.00:1.59:1.10:2.34:1.50,5.16E5,8.21E5,1.00:1.59,89456,Glutamate synthase (NADPH) homotetrameric OS=Prevotella sp. CAG:891 GN=BN805_00077 PE=4 SV=1
1199,1327,tr|R6YX86|R6YX86_9BACE,1.17,45,16,4,Oxidation (M),2.13E6,2.38E6,2.48E6,2.86E6,3.42E6,2.79E6,0.90:1.00:1.04:1.20:1.44:1.17,2.33E6,3.02E6,1.00:1.30,49476,Na(+)-translocating NADH-quinone reductase subunit A OS=Bacteroides sp. CAG:714 GN=nqrA PE=3 SV=1
6297,21619,tr|R5UQ62|R5UQ62_9BACE,1.17,2,2,2,,7.68E5,5.77E5,1.99E6,4.45E5,6.29E5,7.15E5,1.33:1.00:3.45:0.77:1.09:1.24,1.11E6,5.96E5,1.00:0.54,67897,SusD/RagB family protein OS=Bacteroides sp. CAG:702 GN=BN759_00248 PE=4 SV=1
1015,844,tr|R5ULC9|R5ULC9_9BACE,1.17,35,27,21,,2.94E6,6.36E6,8.43E6,8.81E6,7.09E6,6.63E6,0.46:1.00:1.32:1.38:1.11:1.04,5.6E6,7.62E6,1.00:1.36,118175,SusC/RagA family TonB-linked outer membrane protein OS=Bacteroides sp. CAG:702 GN=BN759_00115 PE=3 SV=1
4440,15109,tr|R5TWH7|R5TWH7_9BACE,1.16,17,5,1,Carbamidomethylation,0,6.05E5,9.43E5,7.64E5,1.81E6,1.21E6,0:1.00:1.56:1.26:2.99:2.00,5.16E5,1.26E6,1.00:2.44,42846,Beta-xylanase OS=Bacteroides sp. CAG:702 GN=BN759_02291 PE=3 SV=1
1702,21444,tr|R7AC33|R7AC33_9BACE,1.16,10,3,1,Carbamidomethylation; Oxidation (M),5.74E6,6.53E6,1.01E7,3.95E6,7.45E6,6.34E6,0.88:1.00:1.55:0.61:1.14:0.97,7.58E6,5.91E6,1.00:0.78,41175,Uncharacterized protein OS=Bacteroides pectinophilus CAG:437 GN=BN656_00605 PE=3 SV=1
4311,8383,tr|S0FAB7|S0FAB7_9BACE,1.16,25,9,2,Carbamidomethylation,4.86E5,1.85E6,1.11E6,2.24E6,1.33E6,2.59E6,0.26:1.00:0.60:1.21:0.72:1.40,1.01E6,2.02E6,1.00:2.00,50456,Tryptophan synthase OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_02899 PE=3 SV=1
5709,19537,tr|A0A139LFU3|A0A139LFU3_9BACE,1.16,12,3,3,,6.87E5,2.1E6,5.51E5,2E6,1.72E6,1.11E6,0.33:1.00:0.26:0.95:0.82:0.53,1.11E6,1.61E6,1.00:1.45,35334,SPFH/Band 7/PHB domain protein OS=Bacteroides intestinalis GN=HMPREF2531_02413 PE=4 SV=1
6217,15099,tr|R5V7A9|R5V7A9_9BACE,1.16,11,4,4,,5.71E5,3.84E6,2.99E6,9.65E5,1.92E6,2.45E6,0.15:1.00:0.78:0.25:0.50:0.64,2.47E6,1.78E6,1.00:0.72,41888,Aldose 1-epimerase OS=Bacteroides plebeius CAG:211 GN=BN536_00088 PE=3 SV=1
3392,6181,tr|A0A173ZLH7|A0A173ZLH7_9FIRM,1.16,19,10,1,,5.25E5,6.66E5,2.67E6,7.89E5,3.74E6,2.24E6,0.79:1.00:4.02:1.19:5.62:3.36,1.29E6,2.26E6,1.00:1.75,80119,85 kDa vitronectin-binding protein OS=Faecalibacterium prausnitzii GN=fusA_3 PE=4 SV=1
924,1756,tr|R5C5R3|R5C5R3_9BACE,1.16,49,15,7,Oxidation (M),1.88E6,1.61E6,1.32E6,2.21E6,2.84E6,1.58E6,1.17:1.00:0.82:1.38:1.77:0.98,1.6E6,2.21E6,1.00:1.38,45877,Tetratricopeptide repeat protein OS=Bacteroides sp. CAG:598 GN=BN727_01262 PE=4 SV=1
2015,4542,tr|R7KGI1|R7KGI1_9BURK,1.16,24,12,3,Carbamidomethylation,6.93E5,1.1E6,8.66E5,3.04E5,1.58E6,1.9E6,0.63:1.00:0.79:0.28:1.43:1.73,8.87E5,1.38E6,1.00:1.56,55906,ATP synthase subunit alpha OS=Sutterella sp. CAG:521 GN=atpA PE=3 SV=1
4900,11508,tr|R5SA37|R5SA37_9BACE,1.16,7,6,2,,6.66E5,0,1.08E6,0,4.05E5,4.96E5,1.00:0:1.62:0:0.61:0.75,5.81E5,3E5,1.00:0.52,99678,Uncharacterized protein OS=Bacteroides sp. CAG:661 GN=BN750_02012 PE=4 SV=1
766,803,tr|F0R1P3|F0R1P3_BACSH,1.16,37,35,3,Carbamidomethylation; Oxidation (M),2.08E5,7.52E5,3.18E5,4.9E5,1.02E6,4.39E5,0.28:1.00:0.42:0.65:1.35:0.58,4.53E5,6.48E5,1.00:1.43,137160,Phosphoribosylformylglycinamidine synthase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=purL PE=3 SV=1
2534,19733,tr|R5FLA6|R5FLA6_9FIRM,1.15,21,4,1,,3.93E6,3.71E6,3.64E6,0,5.07E6,1.85E6,1.06:1.00:0.98:0:1.37:0.50,3.76E6,2.31E6,1.00:0.61,20340,Uncharacterized protein OS=Faecalibacterium sp. CAG:1138 GN=BN468_00882 PE=4 SV=1
5984,18825,tr|R6WET3|R6WET3_9FIRM,1.15,4,3,2,Carbamidomethylation,6.08E5,3.25E5,7.95E5,0,1.1E6,2.1E6,1.87:1.00:2.45:0:3.38:6.47,5.76E5,1.28E6,1.00:2.22,88061,Phosphoenolpyruvate synthase OS=Phascolarctobacterium succinatutens CAG:287 GN=BN587_01552 PE=3 SV=1
5117,18989,tr|L0R786|L0R786_9DELT,1.15,7,3,1,Oxidation (M),1.81E6,1.05E6,0,5.84E6,0,8.38E5,1.72:1.00:0:5.57:0:0.80,9.51E5,2.23E6,1.00:2.34,49424,Glutamate dehydrogenase OS=Desulfovibrio hydrothermalis AM13 = DSM 14728 GN=gdhA PE=3 SV=1
195,8159,tr|A0A095ZD22|A0A095ZD22_9BACT,1.14,27,12,1,Carbamidomethylation,1.26E6,7.89E5,1.03E6,-,4.61E5,3.81E5,1.60:1.00:1.30:-:0.58:0.48,1.03E6,4.21E5,1.00:0.41,44386,Elongation factor Tu OS=Prevotella sp. S7-1-8 GN=tuf PE=3 SV=1
4347,13780,tr|A0A1B1SBB8|A0A1B1SBB8_9PORP,1.14,21,5,1,Oxidation (M),7.02E5,1.18E6,2.51E6,4.56E6,1.85E6,3.42E6,0.59:1.00:2.12:3.85:1.56:2.89,1.47E6,3.28E6,1.00:2.24,24716,50S ribosomal protein L1 OS=Parabacteroides sp. YL27 GN=rplA PE=3 SV=1
5228,21511,tr|R7MJM5|R7MJM5_9FIRM,1.14,23,3,1,,4.17E6,9.67E5,2.1E6,1.39E6,8.85E5,8.77E5,4.32:1.00:2.17:1.44:0.91:0.91,2.41E6,1.05E6,1.00:0.44,17105,30S ribosomal protein S5 OS=Ruminococcus sp. CAG:624 GN=rpsE PE=3 SV=1
4514,10730,tr|E5WZR5|E5WZR5_9BACE,1.14,6,5,1,,3.3E6,3.43E6,0,1.78E6,1.12E6,0,0.96:1.00:0:0.52:0.33:0,2.24E6,9.65E5,1.00:0.43,104981,Uncharacterized protein OS=Bacteroides eggerthii 1_2_48FAA GN=HMPREF1016_02171 PE=4 SV=1
1776,3793,tr|R6YFZ7|R6YFZ7_9BACE,1.14,56,14,1,Carbamidomethylation; Oxidation (M),1E5,2.42E6,1.75E6,2.97E6,2.07E6,2.23E6,0.04:1.00:0.72:1.23:0.86:0.92,1.69E6,2.43E6,1.00:1.44,33728,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00556 PE=4 SV=1
5610,14740,tr|R6W005|R6W005_9BACT,1.13,9,4,1,,0,3.8E5,0,1E6,0,0,0:1.00:0:2.63:0:0,1.27E5,3.33E5,1.00:2.63,59880,Peptide chain release factor 3 OS=Prevotella sp. CAG:474 GN=prfC PE=3 SV=1
2359,12978,sp|A6KYI5|RL14_BACV8,1.13,34,4,1,Carbamidomethylation,1.05E7,1.68E7,1.01E7,0,8.42E6,9.81E6,0.62:1.00:0.60:0:0.50:0.58,1.25E7,6.08E6,1.00:0.49,13057,50S ribosomal protein L14 OS=Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154) GN=rplN PE=3 SV=1
5937,21233,tr|R7KH56|R7KH56_9BURK,1.13,6,2,2,,6.91E5,9.64E5,6.1E5,6.54E5,1.16E6,1.42E6,0.72:1.00:0.63:0.68:1.20:1.47,7.96E5,1.08E6,1.00:1.35,36528,L-asparaginase OS=Sutterella sp. CAG:521 GN=BN692_00833 PE=3 SV=1
4511,14310,tr|R7KLW0|R7KLW0_9BURK,1.13,18,4,3,Oxidation (M),1.74E6,2.72E6,6.4E5,2.45E6,1.11E6,3.43E6,0.64:1.00:0.24:0.90:0.41:1.26,1.7E6,2.32E6,1.00:1.36,30310,50S ribosomal protein L2 OS=Sutterella sp. CAG:521 GN=rplB PE=3 SV=1
3020,17534,tr|B5CSQ5|B5CSQ5_9FIRM,1.13,55,5,1,Oxidation (M),0,0,2.12E6,1.63E6,1.87E6,1.45E6,0:0:1.00:0.77:0.88:0.68,7.06E5,1.65E6,1.00:2.33,10400,30S ribosomal protein S19 OS=Ruminococcus lactaris ATCC 29176 GN=rpsS PE=3 SV=1
1997,4610,tr|C3WEY1|C3WEY1_FUSMR,1.13,21,10,5,,2.77E6,3.39E6,4.88E6,4.6E6,4.21E6,5.45E6,0.82:1.00:1.44:1.35:1.24:1.61,3.68E6,4.77E6,1.00:1.30,54503,ATP synthase subunit alpha OS=Fusobacterium mortiferum ATCC 9817 GN=atpA PE=3 SV=1
5159,16195,tr|A0A150YCU3|A0A150YCU3_9FIRM,1.13,14,4,4,,5.34E6,4.22E6,4.47E6,5.87E6,6.59E6,5.61E6,1.26:1.00:1.06:1.39:1.56:1.33,4.68E6,6.02E6,1.00:1.29,46240,Beta-aspartyl-peptidase OS=Ruminococcus sp. DSM 100440 GN=AXF09_01415 PE=4 SV=1
4050,19488,tr|F3PRG4|F3PRG4_9BACE,1.13,12,3,1,,1.58E6,2.14E6,1.21E6,1.62E6,2.24E6,3.09E6,0.74:1.00:0.57:0.76:1.05:1.45,1.64E6,2.22E6,1.00:1.35,30181,TonB-dependent receptor OS=Bacteroides fluxus YIT 12057 GN=HMPREF9446_01314 PE=4 SV=1
1379,4701,tr|R5GLQ3|R5GLQ3_9BACT,1.12,21,11,1,Carbamidomethylation,5.69E5,1.44E6,1.51E6,1.27E6,2.57E6,2.17E6,0.40:1.00:1.05:0.88:1.79:1.51,1.17E6,2E6,1.00:1.71,68204,Chaperone protein DnaK OS=Prevotella sp. CAG:755 GN=dnaK PE=2 SV=1
4901,12641,tr|F0R1B8|F0R1B8_BACSH,1.12,12,6,3,Carbamidomethylation,3.94E5,6.63E5,4.73E5,9.12E5,4.76E5,8.29E5,0.59:1.00:0.71:1.38:0.72:1.25,5.24E5,7.39E5,1.00:1.41,76217,Endothelin-converting enzyme 1 OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_1787 PE=4 SV=1
6007,21686,tr|W7V0N3|W7V0N3_RUMFL,1.12,4,1,1,,7.67E5,2.94E5,2.01E6,2.96E6,6.06E5,1.92E6,2.61:1.00:6.83:10.09:2.06:6.53,1.02E6,1.6E6,1.00:1.57,42679,S-adenosylmethionine synthase OS=Ruminococcus flavefaciens 007c GN=metK PE=3 SV=1
6101,26233,tr|D4M190|D4M190_9FIRM,1.12,10,2,2,,2.52E6,2.05E6,1.22E6,6.66E5,1.32E6,1.41E6,1.23:1.00:0.60:0.33:0.64:0.69,1.93E6,1.13E6,1.00:0.59,30395,Transketolase  N-terminal subunit OS=Ruminococcus torques L2-14 GN=RTO_02160 PE=4 SV=1
